No,Category,Guideline,Description,Do,Don't,"Code Good","Code Bad",Severity,"Docs URL","Applies To",Status,"Verified At"
1,"PUMA Theme","Build on the vendored Bootstrap 5 PUMA theme","PUMA ships a pinned, vendored Bootstrap 5 so pages render with zero build step (no npm, no bundler).","Use PUMA's bundled Bootstrap grid, utilities and components as the layout baseline","Add a separate Bootstrap build pipeline or hotlink a CDN copy","Use PUMA's bundled .container/.row/.col + utility classes directly in .phtml","Adding webpack/vite just to compile the Bootstrap that Tiger already vendors",High,,tiger-php,active,2026-08-16
2,Skins,"Theme a site by adding a skin, not by forking CSS","A skin is a small --bs-* CSS-variable overlay in themes/puma/assets/skins/; skins are auto-discovered and selected per site.","Create a new skin file that only overrides --bs-* custom properties","Copy the whole stylesheet to change a few colors","themes/puma/assets/skins/bengal.css sets --bs-primary and related tokens","Editing core Bootstrap CSS or hardcoding hex values in views",High,,tiger-php,active,2026-08-16
3,Skins,"Express color and mode via CSS variables","Light/dark and brand color live in the skin's --bs-* variables so components recolor without markup changes.","Reference semantic Bootstrap variables (--bs-primary, --bs-body-bg) in custom CSS","Hardcode brand hex codes inside component styles","color: var(--bs-primary); background: var(--bs-body-bg);","color:#0d6efd hardcoded in a component",Medium,,tiger-php,active,2026-08-16
4,Views,"Keep .phtml views server-rendered and logic-light","Views are server-rendered PHP templates; keep branching thin and push data assembly into services/controllers.","Render markup from data the controller already prepared","Query the database or build business logic inside a .phtml","foreach ($this->items as $item) { ... } over a prepared collection","Running DB queries or service calls from inside the view",High,,tiger-php,active,2026-08-16
5,Views,"No inline script or style in views","FUNDAMENTAL rule: .phtml must not contain inline script or style (CMS-authored content is the only exception).","Put JS in an asset file and CSS in the skin","Drop a script or style block into a view template","<div class=""chart"" data-src=""/api/metrics""></div> plus external JS","An inline script tag calling initChart() inside the .phtml",High,,tiger-php,active,2026-08-16
6,Assets,"Reference assets root-relative through asset()","Static theme assets live under /_theme and are resolved with the asset() helper so paths survive core updates.","Emit asset URLs with asset('js/app.js') so they resolve under /_theme","Hardcode /application/... or absolute filesystem paths in markup","<script src=""<?= asset('js/app.js') ?>""></script>","A script src pointing at /application/modules/.../app.js",Medium,,tiger-php,active,2026-08-16
7,Data,"Load dynamic data from the /api message endpoint","Client-side widgets fetch structured data from the internal /api service (role-filtered) rather than embedding data in HTML.","Fetch JSON from /api and render it into a placeholder element","Inline large JSON blobs or PHP-echoed data into the DOM","fetch('/api', {method:'POST', body: ...}).then(r => r.json())","Echoing a big json_encode($rows) into a data attribute",Medium,,tiger-php,active,2026-08-16
8,Forms,"Build forms with Tiger_Form and array config","Forms are Zend_Form subclasses configured with array element definitions; they render, validate and repopulate consistently.","Declare elements in an array config and let Tiger_Form render and validate","Hand-write form markup with manual validation in the view","$this->addElement('text', 'email', ['required' => true]);","A raw input element with ad-hoc JS validation and no server check",High,,tiger-php,active,2026-08-16
9,Forms,"Validate in the service, then run the transaction","Service methods validate input first and only then perform the write inside a transaction (validate then transaction).","Validate all inputs before opening the DB transaction","Interleave validation with partial writes","if (!$valid) return; $this->_transaction(fn() => $repo->save($x));","Writing rows first and validating afterward",High,,tiger-php,active,2026-08-16
10,Components,"Treat complex widgets as opaque GrapesJS components","Complex theme widgets are components that GENERATE html; GrapesJS saves that markup verbatim unless the user edits it (never round-trip complex markup).","Generate the widget HTML once and let the builder store it verbatim","Re-parse and re-serialize rich widget markup on every save","Register a component that outputs finished HTML (marquee is the reference)","Round-tripping nested widget markup through the editor on each save",Medium,,tiger-php,active,2026-08-16
11,Buttons,"Build buttons from Bootstrap .btn classes","PUMA buttons use Bootstrap .btn classes so button variants, sizing and focus recolor via --bs-* skin tokens.","Use .btn button variants (.btn-primary, .btn-outline-secondary) for buttons","Style bespoke buttons with inline CSS","<button class=""btn btn-primary"">Save</button>","A button with inline background and color styles",Medium,,tiger-php,active,2026-08-16
12,Buttons,"Give icon buttons an accessible label","Icon-only buttons need an accessible name; the skin themes the button focus ring.","Add aria-label to icon buttons and keep the .btn focus outline","Ship icon buttons with no label","<button class=""btn btn-icon"" aria-label=""Delete"">icon</button>","An icon button with no label and no aria-label",High,,tiger-php,active,2026-08-16
13,Navigation,"Drive menus from menus.ini via Tiger_Menu","A theme ships configs/menus.ini as the base menu tier; Tiger_Menu renders it with a live fallback and explicit CMS import.","Define navigation in menus.ini and render via the nav view seam","Hardcode nav link lists directly in a layout .phtml","Ship configs/menus.ini and render $this->nav in the layout","Pasting a static list of links into every layout",Medium,,tiger-php,active,2026-08-16
14,Layout,"Compose pages from labeled partials","Everything is a labeled partial: reusable sections are named partials included by shortcode or the layout, editable in one place.","Extract repeated sections into named partials and include them","Duplicate the same markup block across multiple views","[partial name=""cta""] or a partial() include in the layout","Copy-pasting the hero or footer HTML into each page",Medium,,tiger-php,active,2026-08-16
15,Accessibility,"Rely on semantic Bootstrap components for a11y","PUMA's Bootstrap components carry sensible ARIA and keyboard behavior; prefer them over custom widgets.","Use the framework modal/dropdown/nav components and keep their semantics","Rebuild interactive widgets from bare divs without roles or keyboard","Use .modal / .dropdown with their data-bs-* attributes","Custom div menus with click-only handlers and no roles",High,,tiger-php,active,2026-08-16
